iter	Passed	Remaining
738	22662	8004
739	22692	7972
740	22722	7942
741	22753	7911
742	22784	7880
743	22816	7850
744	22847	7820
745	22879	7789
746	22908	7758
747	22940	7728
748	22970	7697
749	22998	7666
750	23026	7634
751	23050	7601
752	23080	7570
753	23110	7540
754	23143	7510
755	23179	7481
756	23211	7450
757	23238	7419
758	23271	7389
759	23301	7358
760	23334	7328
761	23363	7297
762	23393	7266
763	23428	7236
764	23457	7206
765	23483	7173
766	23516	7144
767	23548	7113
768	23578	7082
769	23609	7052
770	23641	7021
771	23672	6991
772	23701	6960
773	23732	6929
774	23759	6897
775	23789	6867
776	23821	6836
777	23857	6807
778	23887	6776
779	23922	6747
780	23951	6716
781	23985	6686
782	24019	6656
783	24065	6630
784	24105	6602
785	24129	6569
786	24159	6538
787	24195	6509
788	24226	6478
789	24255	6447
790	24286	6417
791	24317	6386
792	24343	6354
793	24372	6323
794	24404	6293
795	24436	6262
796	24465	6231
797	24493	6200
798	24520	6168
799	24553	6138
800	24587	6108
801	24613	6076
802	24645	6046
803	24675	6015
804	24712	5986
805	24745	5955
806	24771	5924
807	24797	5892
808	24823	5860
809	24855	5830
810	24893	5801
811	24933	5772
812	24962	5741
813	24990	5710
814	25042	5684
815	25084	5656
816	25159	5635
817	25212	5609
818	25278	5586
819	25327	5559
820	25366	5530
821	25396	5499
822	25432	5469
823	25481	5442
824	25519	5413
825	25562	5384
826	25593	5353
827	25625	5323
828	25664	5293
829	25702	5264
830	25733	5233
831	25765	5202
832	25796	5171
833	25829	5141
834	25866	5111
835	25897	5080
836	25929	5049
837	25960	5018
838	25990	4987
839	26022	4956
840	26049	4924
841	26078	4893
842	26103	4861
843	26137	4831
844	26167	4800
845	26202	4769
846	26234	4738
847	26266	4708
848	26296	4676
849	26329	4646
850	26359	4615
851	26394	4584
852	26421	4553
853	26450	4521
854	26481	4491
855	26514	4460
856	26544	4429
857	26574	4398
858	26608	4367
859	26637	4336
860	26675	4306
861	26706	4275
862	26735	4244
863	26767	4213
864	26803	4183
865	26834	4152
866	26861	4120
867	26889	4089
868	26913	4057
869	26946	4026
870	26980	3995
871	27008	3964
872	27041	3933
873	27070	3902
874	27107	3872
875	27132	3840
876	27166	3810
877	27193	3778
878	27231	3748
879	27268	3718
880	27306	3688
881	27340	3657
882	27374	3627
883	27402	3595
884	27428	3564
885	27457	3532
886	27487	3501
887	27517	3470
888	27548	3439
889	27581	3408
890	27611	3377
891	27643	3347
892	27671	3315
893	27705	3284
894	27733	3253
895	27775	3223
896	27805	3192
897	27838	3162
898	27870	3131
899	27903	3100
900	27938	3069
901	27976	3039
902	28008	3008
903	28039	2977
904	28065	2946
905	28095	2915
906	28123	2883
907	28157	2852
908	28187	2821
909	28216	2790
910	28244	2759
911	28278	2728
912	28310	2697
913	28344	2667
914	28372	2635
915	28396	2604
916	28429	2573
917	28462	2542
918	28495	2511
919	28527	2480
920	28560	2449
921	28588	2418
922	28626	2388
923	28654	2356
924	28681	2325
925	28711	2294
926	28744	2263
927	28777	2232
928	28809	2201
929	28837	2170
930	28869	2139
931	28898	2108
932	28928	2077
933	28966	2046
934	28992	2015
935	29026	1984
936	29053	1953
937	29087	1922
938	29114	1891
939	29146	1860
940	29183	1829
941	29217	1798
942	29250	1768
943	29281	1737
944	29305	1705
945	29335	1674
946	29367	1643
947	29396	1612
948	29430	1581
949	29459	1550
950	29489	1519
951	29521	1488
952	29560	1457
953	29599	1427
954	29625	1395
955	29655	1364
956	29685	1333
957	29715	1302
958	29746	1271
959	29779	1240
960	29809	1209
961	29840	1178
962	29871	1147
963	29901	1116
964	29931	1085
965	29959	1054
966	29991	1023
967	30026	992
968	30053	961
969	30081	930
970	30111	899
971	30142	868
972	30170	837
973	30199	806
974	30231	775
975	30264	744
976	30295	713
977	30322	682
978	30359	651
979	30387	620
980	30418	589
981	30448	558
982	30473	527
983	30503	495
984	30531	464
985	30562	433
986	30593	402
987	30621	371
988	30649	340
989	30674	309
990	30703	278
991	30734	247
992	30767	216
993	30805	185
994	30837	154
995	30868	123
996	30901	92
997	30929	61
998	30962	30
999	30990	0
